,Text,Date,Retweets,Favorites,Mentions,HashTags
0,Is it landlord that has been struggling since beginning of lockdown with no other source of income you want to beg. You people should better start renewing your rent.,2020-08-09 23:55:14+00:00,13,47,,
1,Victorian new cases trending down as impact of stage 4 lockdown kicks in. Thanks for staying strong everyone #auspol,2020-08-09 23:53:42+00:00,8,29,,#auspol
2,"Hello Monday. As Melbourne starts week two in lockdown and day three million of remote learning, here are five marvellous middle-grade titles to keep young readers entertained while you're on your next Zoom call. ",2020-08-09 23:48:01+00:00,7,23,,
3,The ironic part is the same people patting you on the back for this tweet were probably agreeing with the people protesting for the lockdown to end. Now we’re in this mess.,2020-08-09 23:47:48+00:00,5,75,,
4,"In several states, positive coronavirus tests have created problems at reopened schools, sending teachers, students, and parents into lockdown. In some cases, they’ve even shut back down ",2020-08-09 23:46:39+00:00,13,16,,
5,"Bonding With Our Pets: In a recent survey, about 73% of those surveyed said their pet helped their #mentalhealth during the lockdown, and 38% said they would consider a small pay cut so they could keep working from home with their pet. ",2020-08-09 23:40:02+00:00,20,38,,#mentalhealth
6,"Happy 65th birthday to @NeilKearney7. The boy from Longford who carved out a stellar career travelling the world telling stories, but still had time to drop off my lunch at school pretty much every day (I was very forgetful ). Can’t wait to celebrate when lockdown is over ",2020-08-09 23:39:30+00:00,2,140,@NeilKearney7,
7, BTS LOCKDOWN say no to antis/kpoppies report &amp; block. check your countries fanbase on charting info. keep up to date with how to stream properly on platforms available. Enjoy the comeback army @BTS_twt #BTS #BTS_Dynamite #BTSARMY,2020-08-09 23:37:40+00:00,12,17,@BTS_twt,#BTS #BTS #BTS_Dynamite #BTS_Dynamite #BTSARMY #BTSARMY
8,"World’s tiniest, rarest wild pigs are on swine fever lockdown https://trib.al/kEtDFCu",2020-08-09 23:36:03+00:00,20,61,,
9,"'Peers claimed almost £1m in taxpayer-funded “attendance” allowances while working from home during the lockdown. Since the rules were changed to pay peers £162 a day, participation has soared to record levels.' ",2020-08-09 23:32:25+00:00,94,38,,
10,"New Zealand marked 100 days since it stamped out the spread of #COVID19. The island country got rid of the virus by imposing a strict lockdown in late March, when only about 100 people had tested positive. ",2020-08-09 23:30:00+00:00,87,325,,#COVID19
11,It’s funny how easy it would be to basically end this nightmare. Only need a real 6-8 week lockdown paired with a temporary Universal Basic Income to cover everyone’s needs. Use that time to implement a nationwide system of testing and contact tracing.,2020-08-09 23:27:07+00:00,12,58,,
12,Frustrated by another weekend in lockdown? Get it all out by playing a pesky goose in UNTITLED GOOSE GAME. Tune in at 6pm tonight as we chat to @JKSTRSSR &amp;@sciencevsmagic from @house_house_ about their indie game mega hit. In partnership w @RMITGames https://bit.ly/goosegames,2020-08-09 23:26:04+00:00,12,37,@JKSTRSSR @house_house_ @RMITGames,
13,"In a time of of lockdown in big brothers house, the destiny of 85million rests in the hands of a young man his name is LAYCON... @Itslaycon for the 85M #LayconX85M #BBNaija",2020-08-09 23:22:18+00:00,106,680,@Itslaycon,#LayconX85M #BBNaija
14,Brian F and Rob Television have have really grown as contributors during this lockdown period. I'm really happy to see it as well. Both totally unique takes on how they approach the task.,2020-08-09 23:14:58+00:00,6,128,,
15,When the residents of Barcelona came out of the coronavirus lockdown they were greeted with miles of shiny yellow new bike lanes. Meet the man who's rethinking transit in a car-centric city https://trib.al/pewo4Rp,2020-08-09 23:12:04+00:00,55,149,,
16,"Pastor Rob McCoy of Godspeak Calvary Chapel in Thousand Oaks California will continue to defy lockdown orders. He says “I wish it didn’t have to come to this, I really do, but we will be violating the judge’s order. We will be open this Sunday.”",2020-08-09 23:10:17+00:00,148,495,,
17,Indeed. I got the impression from lockdown supporters that many were practically praying for more deaths in Sweden (“Give it 2 more weeks” was a continual refrain). But in didn’t happen &amp; it has remained a fully functioning country. Unlike Britain. ,2020-08-09 23:04:27+00:00,18,43,,
18,‘Masks Make Us Slaves’: Thousands March in Berlin Anti-Lockdown Protest - The Vaccine Reaction http://ow.ly/EEg750APIl9 #VaccineFreedom #InformedConsent,2020-08-09 23:02:01+00:00,56,90,,#VaccineFreedom #InformedConsent
19,"Trust in government is directly related to people's willingness to follow COVID-19 lockdown guidelines. In this Lancet study, the authors show a potential link between Dominic Cummings breaking the rules and decrease in public adherence to lockdown https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)31690-1/fulltext?dgcid=raven_jbs_etoc_email",2020-08-09 23:52:54+00:00,5,18,,
20,"The dirtiest, easiest most delicious “fakeaway” recipe to come out of lockdown. ",2020-08-09 23:51:27+00:00,3,18,,
21,"The coronavirus crisis has seen a huge spike in Victorians presenting to emergency departments for self-harm or in mental distress. @CMorgan265 joined us to discuss the ""enormous"" impact lockdown can have on your mental health and where to go for help. ",2020-08-09 23:50:57+00:00,13,23,@CMorgan265,
22,during this lockdown I’ve started doing the smallest things I always rushed and it’s such a game changer. have you ever driven somewhere slowly and given yourself enough time to just look around and enjoy the drive?,2020-08-09 23:48:31+00:00,3,107,,
23,"""Lockdowns ended American life as we knew it just five months ago, for a virus that 99.4-6% of those who contract it shake off..."" - @jeffreyatucker We Need a Principled Anti-Lockdown Movement https://www.aier.org/article/we-need-a-principled-anti-lockdown-movement/ from @aier",2020-08-09 23:42:53+00:00,15,62,@jeffreyatucker @aier,
24,"Twitter world - I need a cake shop that is open in lockdown? Wilbas birthday on Wednesday. To answer a few responses for you, I wouldn’t eat a cake cooked from me .",2020-08-09 23:42:22+00:00,2,51,,
25,Planning a post lockdown spank bank *nods* Just doing my bit. ,2020-08-09 23:38:01+00:00,22,128,,
26,The Merri Creek is in pristine condition thanks to locals picking up litter during their lockdown exercise ,2020-08-09 23:37:47+00:00,4,22,,
27,America just needs to have a strict lockdown for ONE month and end this covid-19 stuff. Give everyone another stimulus check and quarantine for a month.,2020-08-09 23:36:41+00:00,5,23,,
28,Lockdown made twitter bad vibes cause everyone’s now got time to chat a load of shit,2020-08-09 23:35:26+00:00,6,21,,
29,WTF is going on?? NWO is very confusing. Sweden no lockdown or draconian laws. Australia military lockdown &amp; CCP type take over. How does this make sense ,2020-08-09 23:34:16+00:00,2,35,,
30,For 6 weeks Sophie - get a grip. It’s not you live in Hong Kong where they actually have had their freedom ripped to pieces. Do you realise how immature you Dan naysayers sound to those of us in States that had early lockdown and to the Victorians just doing what’s asked of them?,2020-08-09 23:32:35+00:00,2,86,,
31,"हुनर को काम में , और काम को आमदनी में बदलता रोज़गार ढाबा During the COVID-19 lockdown period, Mijwan Welfare Society #EmbrodieryCenter and #RozgarDhaba are creating work opportunities for rural women in the form of designer mask making (including Chikankari Mask).",2020-08-09 23:27:56+00:00,6,44,,#EmbrodieryCenter #RozgarDhaba
32,Would make a lot more sense to focus on at risk children of any color. I lose sleep thinking about the child abuse happening all over the world during the lockdown. People who should have never had children are locked in with them. So sad.,2020-08-09 23:13:55+00:00,7,80,,
33,I'd add to that any politician who was immediately extended indefinite lockdown and religious people are unessential. ,2020-08-09 23:13:18+00:00,1,26,,
34,"This is a terrific & constructive dose of perspective for those frustrated/challenged by lockdown (I've been there myself ). Stephanie Browitt lost family &amp; was badly injured in the NZ Volcano tragedy, but she reminds us ""with perseverance this will pass"" ",2020-08-09 23:11:58+00:00,9,32,,
35,@drjudymelinek I’m a geographer- you might like this regarding islands and population density. You weren’t here for our lockdown but it was strict and 99.9% of the team of 5 million were fully behind it and that’s why we’re Covid free today: ,2020-08-09 23:07:52+00:00,4,29,@drjudymelinek,
36,"Don't people understand that pandemic is a biological crisis? Not constitutional. Not economic. And definitely not political. In COVID19 pandemic crisis, you give all respect to the virus: masks, distancing, wash hands, and lockdown. So far America has not shown any.",2020-08-09 23:05:01+00:00,5,24,,
37,I spent an unnecessary amount of money on restaurants this weekend we need another lockdown,2020-08-09 23:02:27+00:00,4,9,,
