Date,Price,Open,High,Low,Volume,Chg%
21-Apr-08,5037,4955.9,5053.4,4955.9,110.42M,1.59%
22-Apr-08,5049.3,5037.05,5074.25,4994.05,126.75M,0.24%
23-Apr-08,5022.8,5044.35,5083.5,5003.55,144.56M,-0.52%
24-Apr-08,4999.85,5022.9,5072.7,4991.35,154.29M,-0.46%
25-Apr-08,5111.7,4999.15,5117.7,4999.15,134.45M,2.24%
28-Apr-08,5089.65,5112.5,5147.45,5079.15,110.78M,-0.43%
29-Apr-08,5195.5,5092.4,5210.9,5082.15,214.91M,2.08%
30-Apr-08,5165.9,5198.35,5230.75,5155.85,146.21M,-0.57%
02-May-08,5228.2,5265.3,5298.85,5197.6,131.24M,1.21%
05-May-08,5192.25,5227.25,5254.5,5182.6,125.63M,-0.69%
06-May-08,5144.65,5192.35,5206.5,5110.9,131.31M,-0.92%
07-May-08,5135.5,5156.7,5159.05,5101.25,153.38M,-0.18%
08-May-08,5081.7,5135.8,5143.05,5062.45,127.17M,-1.05%
09-May-08,4982.6,5070.85,5087.65,4969.4,142.29M,-1.95%
12-May-08,5012.65,4981,5021.75,4913.8,150.70M,0.60%
13-May-08,4957.8,5008.6,5066,4943.75,158.38M,-1.09%
14-May-08,5011.75,4958.45,5026.1,4932.05,147.69M,1.09%
15-May-08,5115.25,5010.9,5118.55,4999.6,150.79M,2.07%
16-May-08,5157.7,5115.65,5167.4,5106.4,153.20M,0.83%
20-May-08,5104.95,5157,5160.05,5072.4,157.36M,-1.02%
21-May-08,5117.65,5105.7,5135.55,5048.7,163.03M,0.25%
22-May-08,5025.45,5117,5118.9,5010.7,113.50M,-1.80%
23-May-08,4946.55,5026.55,5059.05,4940.7,152.37M,-1.57%
26-May-08,4875.05,4953.6,4953.6,4858,124.35M,-1.45%
27-May-08,4859.8,4877.15,4932,4846.2,120.40M,-0.31%
28-May-08,4918.35,4862.7,4926.9,4835.65,140.74M,1.20%
29-May-08,4835.3,4926.3,4957.4,4801.9,194.90M,-1.69%
30-May-08,4870.1,4844.05,4908.85,4833.45,138.62M,0.72%
02-Jun-08,4739.6,4869.25,4908.8,4713,118.40M,-2.68%
03-Jun-08,4715.9,4739.3,4739.3,4634,140.73M,-0.50%
04-Jun-08,4585.6,4718.7,4731.5,4564.5,154.82M,-2.76%
05-Jun-08,4676.95,4586.95,4690.6,4536.25,168.87M,1.99%
06-Jun-08,4627.8,4680.55,4746.3,4614.25,132.09M,-1.05%
09-Jun-08,4500.95,4626.45,4626.45,4411.6,175.25M,-2.74%
10-Jun-08,4449.8,4522,4522.55,4369.8,165.41M,-1.14%
11-Jun-08,4523.6,4469.65,4541.05,4468.05,166.12M,1.66%
12-Jun-08,4539.35,4524.4,4550,4392,163.97M,0.35%
13-Jun-08,4517.1,4539.5,4563.35,4491.35,139.53M,-0.49%
16-Jun-08,4572.5,4536.3,4617.7,4536.3,111.42M,1.23%
17-Jun-08,4653,4572.5,4664.05,4561.75,107.12M,1.76%
18-Jun-08,4582.4,4652.8,4679.75,4569.9,136.86M,-1.52%
19-Jun-08,4504.25,4582.55,4585.7,4488.95,102.14M,-1.71%
20-Jun-08,4347.55,4504.2,4532,4333.6,133.10M,-3.48%
23-Jun-08,4266.4,4351.15,4351.15,4225.5,126.31M,-1.87%
24-Jun-08,4191.1,4271.05,4305.9,4156.1,132.37M,-1.76%
25-Jun-08,4252.65,4189.6,4264.55,4093.2,151.94M,1.47%
26-Jun-08,4315.85,4252.6,4324.75,4230,195.95M,1.49%
27-Jun-08,4136.65,4315.3,4315.3,4119.2,177.16M,-4.15%
30-Jun-08,4040.55,4136.25,4163,4021.7,144.49M,-2.32%
01-Jul-08,3896.75,4039.75,4075.4,3878.2,164.47M,-3.56%
02-Jul-08,4093.35,3895.3,4107.15,3848.25,199.76M,5.05%
03-Jul-08,3925.75,4094.6,4097.35,3874.85,154.49M,-4.09%
04-Jul-08,4016,3926.65,4033.5,3896.4,152.04M,2.30%
07-Jul-08,4030,4002,4114.5,4002,125.74M,0.35%
08-Jul-08,3988.55,4028.7,4028.7,3896.05,135.09M,-1.03%
09-Jul-08,4157.1,3990.9,4169.4,3990.9,144.53M,4.23%
10-Jul-08,4162.2,4155.65,4187.95,4110.4,146.41M,0.12%
11-Jul-08,4049,4166,4215.5,4014.45,136.82M,-2.72%
14-Jul-08,4039.7,4047.45,4118.1,4004.25,125.91M,-0.23%
15-Jul-08,3861.1,4039.3,4040.7,3835.5,141.87M,-4.42%
16-Jul-08,3816.7,3861.55,3920.05,3790.2,175.51M,-1.15%
17-Jul-08,3947.2,3823.15,3968.75,3823.15,179.94M,3.42%
18-Jul-08,4092.25,3962.95,4110.55,3926.3,175.07M,3.67%
21-Jul-08,4159.5,4092.2,4168.15,4072.75,136.66M,1.64%
22-Jul-08,4240.1,4158.45,4262.45,4137.95,165.65M,1.94%
23-Jul-08,4476.8,4246.7,4491.55,4246.7,233.62M,5.58%
24-Jul-08,4433.55,4476.2,4539.45,4385.85,176.95M,-0.97%
25-Jul-08,4311.85,4440.85,4440.85,4297.15,161.63M,-2.74%
28-Jul-08,4332.1,4282.25,4352.65,4282.25,111.11M,0.47%
29-Jul-08,4189.85,4332.2,4332.2,4159.15,125.81M,-3.28%
30-Jul-08,4313.55,4191.2,4327,4191.2,151.94M,2.95%
31-Jul-08,4332.95,4314.35,4342,4285.55,199.68M,0.45%
01-Aug-08,4413.55,4331.6,4422.95,4235.7,178.08M,1.86%
04-Aug-08,4395.35,4426.1,4436.15,4362.9,131.34M,-0.41%
05-Aug-08,4502.85,4395.8,4515.15,4376,193.93M,2.45%
06-Aug-08,4517.55,4506.25,4615.9,4503.9,175.50M,0.33%
07-Aug-08,4523.85,4515.25,4580.15,4493.7,133.71M,0.14%
08-Aug-08,4529.5,4518.35,4546.35,4464,114.20M,0.12%
11-Aug-08,4620.4,4529.35,4625.2,4529.35,112.94M,2.01%
12-Aug-08,4552.25,4620.95,4649.85,4525.75,123.23M,-1.47%
13-Aug-08,4529.05,4548.05,4572.65,4497.25,105.39M,-0.51%
14-Aug-08,4430.7,4524.2,4529.8,4421.25,94.98M,-2.17%
18-Aug-08,4393.05,4430.7,4447.4,4379.85,96.20M,-0.85%
19-Aug-08,4368.25,4393.1,4393.7,4316.55,96.48M,-0.56%
20-Aug-08,4415.75,4365.45,4434.9,4365.45,89.40M,1.09%
21-Aug-08,4283.85,4416.2,4418.55,4271.3,91.31M,-2.99%
22-Aug-08,4327.45,4283.85,4337,4248,101.44M,1.02%
25-Aug-08,4335.35,4317.95,4398.8,4317.95,79.24M,0.18%
26-Aug-08,4337.5,4335.2,4345.05,4283.3,86.26M,0.05%
27-Aug-08,4292.1,4336.85,4364.25,4282.65,84.38M,-1.05%
28-Aug-08,4214,4290.75,4304.5,4201.85,160.48M,-1.82%
29-Aug-08,4360,4230.6,4368.8,4230.6,111.46M,3.46%
01-Sep-08,4348.65,4356.1,4365,4281.35,82.97M,-0.26%
02-Sep-08,4504,4358.85,4522.4,4343.1,129.29M,3.57%
04-Sep-08,4447.75,4512.95,4514.6,4419.45,114.63M,-1.25%
05-Sep-08,4352.3,4444.7,4444.7,4328.9,108.53M,-2.15%
08-Sep-08,4482.3,4358.3,4558,4358.3,117.22M,2.99%
09-Sep-08,4468.7,4485.15,4497.5,4418.95,95.55M,-0.30%
10-Sep-08,4400.25,4467.5,4467.5,4382.35,134.79M,-1.53%
11-Sep-08,4290.3,4397.25,4399.3,4272.75,116.72M,-2.50%
12-Sep-08,4228.45,4291.6,4323.9,4200.15,145.75M,-1.44%
15-Sep-08,4072.9,4231.95,4237.25,3955.4,147.16M,-3.68%
16-Sep-08,4074.9,4072.55,4090.1,3919.35,159.50M,0.05%
17-Sep-08,4008.25,4074.8,4116.7,3974.6,153.24M,-1.64%
18-Sep-08,4038.15,4005.25,4050.1,3799.55,203.05M,0.75%
19-Sep-08,4245.25,4040.8,4262.65,4040.8,205.15M,5.13%
22-Sep-08,4223.05,4248.95,4303.25,4202.4,136.00M,-0.52%
23-Sep-08,4126.9,4223.9,4224.7,4117.9,125.53M,-2.28%
24-Sep-08,4161.25,4125.75,4207.95,4115.85,156.07M,0.83%
25-Sep-08,4110.55,4162.15,4172.6,4077.5,217.96M,-1.22%
26-Sep-08,3985.25,4108.75,4110.7,3970.35,133.85M,-3.05%
29-Sep-08,3850.05,3990.2,3997.55,3777.3,187.24M,-3.39%
30-Sep-08,3921.2,3848.7,3966.85,3715.05,217.10M,1.85%
01-Oct-08,3950.75,3921.85,4000.5,3861.25,149.83M,0.75%
03-Oct-08,3818.3,3953.55,3969.55,3804.85,172.52M,-3.35%
06-Oct-08,3602.35,3817.3,3820.85,3581.6,157.49M,-5.66%
07-Oct-08,3606.6,3606.95,3732.65,3537,210.22M,0.12%
08-Oct-08,3513.65,3604.4,3604.4,3329.45,228.58M,-2.58%
10-Oct-08,3279.95,3502.05,3502.05,3198.95,283.84M,-6.65%
13-Oct-08,3490.7,3272.9,3510.2,3272.9,195.17M,6.43%
14-Oct-08,3518.65,3494.1,3648.25,3491.5,177.53M,0.80%
15-Oct-08,3338.4,3517.9,3518.5,3324.55,163.72M,-5.12%
16-Oct-08,3269.3,3333.85,3333.85,3099.9,234.08M,-2.07%
17-Oct-08,3074.35,3269.05,3335.95,3046.6,193.32M,-5.96%
20-Oct-08,3122.8,3108.2,3238.4,3058.95,185.82M,1.58%
21-Oct-08,3234.9,3125.4,3254.85,3117.35,225.59M,3.59%
22-Oct-08,3065.15,3234.7,3235.75,3051.8,171.32M,-5.25%
23-Oct-08,2943.15,3064.8,3085.1,2917.15,234.03M,-3.98%
24-Oct-08,2584,2936.25,2936.25,2525.05,348.59M,-12.20%
27-Oct-08,2524.2,2583.75,2585.3,2252.75,341.12M,-2.31%
28-Oct-08,2684.6,2526.2,2695.95,2526.2,512.06M,6.35%
29-Oct-08,2697.05,2685.3,2781.25,2631.9,361.64M,0.46%
31-Oct-08,2885.6,2696.3,2921.35,2696.3,320.46M,6.99%
03-Nov-08,3043.85,2885.4,3062.05,2885.4,240.43M,5.48%
04-Nov-08,3142.1,3050.25,3152.3,2985,304.61M,3.23%
05-Nov-08,2994.95,3155.75,3240.55,2971,305.69M,-4.68%
06-Nov-08,2892.65,2998.45,3007.8,2860.25,268.18M,-3.42%
07-Nov-08,2973,2893.25,3010,2860.1,246.64M,2.78%
10-Nov-08,3148.25,2973.3,3161.25,2973.3,250.70M,5.89%
