Date,Price,Open,High,Low,Volume,Chg%
30-Sep-19,11474.45,11491.15,11508.25,11390.8,756.85K,-0.33%
01-Oct-19,11359.9,11515.4,11554.2,11247.9,1.31M,-1.00%
03-Oct-19,11314,11322.25,11370.4,11257.35,1.02M,-0.40%
04-Oct-19,11174.75,11388.45,11400.3,11158.35,928.52K,-1.23%
07-Oct-19,11126.4,11196.2,11233.85,11112.65,733.20K,-0.43%
09-Oct-19,11313.3,11152.95,11321.6,11090.15,741.15K,1.68%
10-Oct-19,11234.55,11280.5,11293.35,11208.55,562.02K,-0.70%
11-Oct-19,11305.05,11257.7,11362.9,11189.4,737.80K,0.63%
14-Oct-19,11341.15,11335.9,11420.45,11290.05,587.58K,0.32%
15-Oct-19,11428.3,11360.85,11462.35,11342.1,527.40K,0.77%
16-Oct-19,11464,11464.95,11481.05,11411.1,533.47K,0.31%
17-Oct-19,11586.35,11466.3,11599.1,11439.65,797.57K,1.07%
18-Oct-19,11661.85,11580.3,11684.7,11553.15,853.44K,0.65%
22-Oct-19,11588.35,11657.15,11714.35,11573.65,867.60K,-0.63%
23-Oct-19,11604.1,11596.2,11651.6,11554.4,664.16K,0.14%
24-Oct-19,11582.6,11661.65,11679.6,11534.65,700.48K,-0.19%
25-Oct-19,11583.9,11646.15,11646.9,11490.75,812.03K,0.01%
29-Oct-19,11786.85,11643.95,11809.4,11627.35,951.72K,1.75%
30-Oct-19,11844.1,11883.9,11883.95,11784.45,725.22K,0.49%
31-Oct-19,11877.45,11890.45,11945,11855.1,1.41M,0.28%
01-Nov-19,11890.6,11886.6,11918.3,11843.35,855.34K,0.11%
04-Nov-19,11941.3,11928.9,11989.15,11905.35,823.05K,0.43%
05-Nov-19,11917.2,11974.6,11978.95,11861.9,631.95K,-0.20%
06-Nov-19,11966.05,11911.5,12002.9,11850.25,603.35K,0.41%
07-Nov-19,12012.05,12021.1,12021.4,11946.85,562.96K,0.38%
08-Nov-19,11908.15,11987.15,12034.15,11888.75,789.25K,-0.86%
11-Nov-19,11913.45,11879.2,11932.65,11853.95,548.98K,0.04%
13-Nov-19,11840.45,11908.3,11946.8,11823.2,659.04K,-0.61%
14-Nov-19,11872.1,11858.75,11895.65,11802.65,559.49K,0.27%
15-Nov-19,11895.45,11904.2,11973.65,11879.25,580.15K,0.20%
18-Nov-19,11884.5,11915.15,11946.2,11867.6,514.35K,-0.09%
19-Nov-19,11940.1,11919.45,11958.85,11881.75,613.91K,0.47%
20-Nov-19,11999.1,12004.75,12038.6,11966.05,646.66K,0.49%
21-Nov-19,11968.4,12025.65,12028.2,11956.9,557.69K,-0.26%
22-Nov-19,11914.4,11967.3,11968.1,11883.5,486.82K,-0.45%
25-Nov-19,12073.75,11922.45,12084.5,11919.75,534.29K,1.34%
26-Nov-19,12037.7,12110.2,12132.45,12006.35,1.20M,-0.30%
27-Nov-19,12100.7,12068.5,12114.9,12055.15,584.23K,0.52%
28-Nov-19,12151.15,12132.1,12158.8,12099.95,620.48K,0.42%
29-Nov-19,12056.05,12146.2,12147.4,12017.4,804.43K,-0.78%
02-Dec-19,12048.2,12137.05,12137.15,12023.7,720.95K,-0.07%
03-Dec-19,11994.2,12067.65,12068.6,11956.4,605.79K,-0.45%
04-Dec-19,12043.2,11969.95,12054.7,11935.3,747.19K,0.41%
05-Dec-19,12018.4,12071.25,12081.2,11998.75,562.23K,-0.21%
06-Dec-19,11921.5,12047.35,12057.05,11888.85,609.22K,-0.81%
09-Dec-19,11937.5,11939.1,11981.95,11888.05,599.12K,0.13%
10-Dec-19,11856.8,11950.5,11953.2,11844.7,650.22K,-0.68%
11-Dec-19,11910.15,11867.35,11923.2,11832.3,997.66K,0.45%
12-Dec-19,11971.8,11944.3,12005.5,11934,752.62K,0.52%
13-Dec-19,12086.7,12026.4,12098.85,12023.6,597.71K,0.96%
16-Dec-19,12053.95,12131.35,12134.65,12046.3,437.70K,-0.27%
17-Dec-19,12165,12082.45,12182.75,12070.35,499.59K,0.92%
18-Dec-19,12221.65,12197,12237.7,12163.45,518.86K,0.47%
19-Dec-19,12259.7,12223.4,12268.35,12191.15,623.05K,0.31%
20-Dec-19,12271.8,12266.45,12293.9,12252.75,810.68K,0.10%
23-Dec-19,12262.75,12235.45,12287.15,12213.25,604.78K,-0.07%
24-Dec-19,12214.55,12269.25,12283.7,12202.1,470.29K,-0.39%
26-Dec-19,12126.55,12211.85,12221.55,12118.85,520.33K,-0.72%
27-Dec-19,12245.8,12172.9,12258.45,12157.9,383.79K,0.98%
30-Dec-19,12255.85,12274.9,12286.45,12213.8,411.09K,0.08%
31-Dec-19,12168.45,12247.1,12247.1,12151.8,426.93K,-0.71%
01-Jan-20,12182.5,12202.15,12222.2,12165.3,304.08K,0.12%
02-Jan-20,12282.2,12198.55,12289.9,12195.25,407.70K,0.82%
03-Jan-20,12226.65,12261.1,12265.6,12191.35,428.77K,-0.45%
06-Jan-20,11993.05,12170.6,12179.1,11974.2,396.50K,-1.91%
07-Jan-20,12052.95,12079.1,12152.15,12005.35,447.82K,0.50%
08-Jan-20,12025.35,11939.1,12044.95,11929.6,445.99K,-0.23%
09-Jan-20,12215.9,12153.15,12224.05,12132.55,477.47K,1.58%
10-Jan-20,12256.8,12271,12311.2,12213.2,660.63K,0.33%
13-Jan-20,12329.55,12296.7,12337.75,12285.8,500.97K,0.59%
14-Jan-20,12362.3,12333.1,12374.25,12308.7,616.26K,0.27%
15-Jan-20,12343.3,12349.4,12355.15,12278.75,684.35K,-0.15%
16-Jan-20,12355.5,12347.1,12389.05,12315.8,395.67K,0.10%
17-Jan-20,12352.35,12328.4,12385.45,12321.4,502.06K,-0.03%
20-Jan-20,12224.55,12430.5,12430.5,12216.9,491.61K,-1.03%
21-Jan-20,12169.85,12195.3,12230.05,12162.3,443.98K,-0.45%
22-Jan-20,12106.9,12218.35,12225.05,12087.9,526.30K,-0.52%
23-Jan-20,12180.35,12123.75,12189,12094.1,867.65K,0.61%
24-Jan-20,12248.25,12174.55,12272.15,12149.65,593.24K,0.56%
27-Jan-20,12119,12197.1,12216.6,12107,441.16K,-1.06%
28-Jan-20,12055.8,12148.1,12163.55,12024.5,478.48K,-0.52%
29-Jan-20,12129.5,12114.9,12169.6,12103.8,514.36K,0.61%
30-Jan-20,12035.8,12147.75,12150.3,12010.6,538.14K,-0.77%
31-Jan-20,11962.1,12100.4,12103.55,11945.85,771.28K,-0.61%
03-Feb-20,11707.9,11627.45,11749.85,11614.5,669.82K,-2.13%
04-Feb-20,11979.65,11786.25,11986.15,11783.4,560.43K,2.32%
05-Feb-20,12089.15,12005.85,12098.15,11953.35,758.03K,0.91%
06-Feb-20,12137.95,12120,12160.6,12084.65,565.12K,0.40%
07-Feb-20,12098.35,12151.15,12154.7,12073.95,473.48K,-0.33%
10-Feb-20,12031.5,12102.35,12103.55,11990.75,524.71K,-0.55%
11-Feb-20,12107.9,12108.4,12172.3,12099,479.98K,0.64%
12-Feb-20,12201.2,12151,12231.75,12144.3,411.73K,0.77%
13-Feb-20,12174.65,12219.55,12225.65,12139.8,501.19K,-0.22%
14-Feb-20,12113.45,12190.15,12246.7,12091.2,622.78K,-0.50%
17-Feb-20,12045.8,12131.8,12159.6,12037,455.19K,-0.56%
18-Feb-20,11992.5,12028.25,12030.75,11908.05,676.85K,-0.44%
19-Feb-20,12125.9,12090.6,12134.7,12042.1,513.57K,1.11%
20-Feb-20,12080.85,12119,12152,12071.45,502.61K,-0.37%
24-Feb-20,11829.4,12012.55,12012.55,11813.4,490.80K,-2.08%
25-Feb-20,11797.9,11877.5,11883.05,11779.9,461.00K,-0.27%
26-Feb-20,11678.5,11738.55,11783.25,11639.6,567.63K,-1.01%
27-Feb-20,11633.3,11661.25,11663.85,11536.7,608.61K,-0.39%
28-Feb-20,11201.75,11382,11384.8,11175.05,809.90K,-3.71%
