Date,Price,Open,High,Low,Volume,Chg%
01-Aug-16,8636.55,8654.3,8711.3,8590.5,194.19M,-0.02%
02-Aug-16,8622.9,8647.45,8687.2,8611.4,174.56M,-0.16%
03-Aug-16,8544.85,8635.2,8635.45,8529.6,168.03M,-0.91%
04-Aug-16,8551.1,8599.95,8601.4,8518.15,169.78M,0.07%
05-Aug-16,8683.15,8600.2,8689.4,8590.15,162.78M,1.54%
08-Aug-16,8711.35,8712.85,8723.5,8697.6,177.88M,0.32%
09-Aug-16,8678.25,8727.8,8728.35,8638.2,206.26M,-0.38%
10-Aug-16,8575.3,8686.7,8690.1,8564.6,178.96M,-1.19%
11-Aug-16,8592.15,8572.8,8601.15,8540.05,195.12M,0.20%
12-Aug-16,8672.15,8605.45,8684.3,8604.45,272.01M,0.93%
16-Aug-16,8642.55,8670.25,8682.35,8600.45,231.77M,-0.34%
17-Aug-16,8624.05,8639.8,8667.1,8603.6,179.54M,-0.21%
18-Aug-16,8673.25,8648.85,8690.7,8645.05,169.43M,0.57%
19-Aug-16,8666.9,8694.3,8696.6,8647.1,197.77M,-0.07%
22-Aug-16,8629.15,8667,8684.85,8614,156.98M,-0.44%
23-Aug-16,8632.6,8628.35,8642.15,8580,193.30M,0.04%
24-Aug-16,8650.3,8648.5,8661.05,8620.9,154.17M,0.21%
25-Aug-16,8592.2,8668.85,8683.05,8583.65,219.74M,-0.67%
26-Aug-16,8572.55,8614.35,8622.95,8547.55,152.15M,-0.23%
29-Aug-16,8607.45,8583.75,8622,8543.75,133.72M,0.41%
30-Aug-16,8744.35,8646.75,8750.6,8642.25,154.83M,1.59%
31-Aug-16,8786.2,8754.05,8819.2,8754.05,373.42M,0.48%
01-Sep-16,8774.65,8793.6,8813.25,8759.95,246.34M,-0.13%
02-Sep-16,8809.65,8796.35,8824.1,8768.2,197.38M,0.40%
06-Sep-16,8943,8852.7,8950.85,8848.45,201.62M,1.51%
07-Sep-16,8917.95,8968.7,8968.7,8913.35,299.15M,-0.28%
08-Sep-16,8952.5,8915.5,8960.35,8896,223.94M,0.39%
09-Sep-16,8866.7,8934.3,8939.15,8858.7,181.34M,-0.96%
12-Sep-16,8715.6,8732.95,8746.95,8699.4,190.20M,-1.70%
14-Sep-16,8726.6,8710.65,8739.85,8688.9,189.98M,0.13%
15-Sep-16,8742.55,8743.85,8751.95,8704.35,149.89M,0.18%
16-Sep-16,8779.85,8780.85,8847.65,8750.5,274.04M,0.43%
19-Sep-16,8808.4,8788.45,8824.3,8774.2,135.81M,0.33%
20-Sep-16,8775.9,8816.1,8816.45,8759.3,140.72M,-0.37%
21-Sep-16,8777.15,8790.3,8826.85,8757.3,153.44M,0.01%
22-Sep-16,8867.45,8873.35,8893.35,8837.8,178.14M,1.03%
23-Sep-16,8831.55,8880.75,8885.2,8820.3,191.62M,-0.40%
26-Sep-16,8723.05,8807.9,8809.55,8715.1,169.05M,-1.23%
27-Sep-16,8706.4,8748.9,8768.5,8690.5,156.10M,-0.19%
28-Sep-16,8745.15,8711.2,8767.05,8703.15,170.64M,0.45%
29-Sep-16,8591.25,8792.7,8800.65,8558.25,384.40M,-1.76%
30-Sep-16,8611.15,8581.5,8637.15,8555.2,187.33M,0.23%
03-Oct-16,8738.1,8666.15,8745.2,8635,141.47M,1.47%
04-Oct-16,8769.15,8770,8783.65,8736.1,189.99M,0.36%
05-Oct-16,8743.95,8806.35,8806.95,8731.4,162.10M,-0.29%
06-Oct-16,8709.55,8768.7,8781.15,8684.65,168.71M,-0.39%
07-Oct-16,8697.6,8721.7,8723.7,8663.8,155.05M,-0.14%
10-Oct-16,8708.8,8735.35,8745.8,8703.95,111.79M,0.13%
13-Oct-16,8573.35,8671.5,8681.55,8541.35,218.86M,-1.56%
14-Oct-16,8583.4,8594,8604.45,8549.8,167.85M,0.12%
17-Oct-16,8520.4,8612.95,8615.4,8506.15,203.52M,-0.73%
18-Oct-16,8677.9,8556.05,8685.1,8555.9,216.63M,1.85%
19-Oct-16,8659.1,8697.5,8698.75,8636.7,177.40M,-0.22%
20-Oct-16,8699.4,8693.35,8727,8678.3,165.95M,0.47%
21-Oct-16,8693.05,8708.6,8709.1,8652.05,162.16M,-0.07%
24-Oct-16,8708.95,8709.85,8736.95,8684.15,161.97M,0.18%
25-Oct-16,8691.3,8721.7,8722.65,8663.45,195.70M,-0.20%
26-Oct-16,8615.25,8657.3,8657.3,8596.6,226.13M,-0.88%
27-Oct-16,8615.25,8607.1,8624.85,8550.25,250.34M,0.00%
28-Oct-16,8638,8625,8653.75,8581.75,180.91M,0.26%
30-Oct-16,8625.7,8672.35,8678.25,8616.25,166.11M,-0.14%
01-Nov-16,8626.25,8653.15,8669.6,8614.5,170.07M,0.01%
02-Nov-16,8514,8542.8,8549.5,8504.85,160.13M,-1.30%
03-Nov-16,8484.95,8499.85,8537.65,8476.15,175.77M,-0.34%
04-Nov-16,8433.75,8503.6,8504,8400.25,231.78M,-0.60%
07-Nov-16,8497.05,8535.75,8535.85,8481.45,178.07M,0.75%
08-Nov-16,8543.55,8540,8559.4,8480.1,201.76M,0.55%
09-Nov-16,8432,8067.5,8476.2,8002.25,323.97M,-1.31%
10-Nov-16,8525.75,8555.6,8598.45,8510.7,271.20M,1.11%
11-Nov-16,8296.3,8456.65,8460.6,8284.95,275.22M,-2.69%
15-Nov-16,8108.45,8284.85,8288.55,8093.2,370.30M,-2.26%
16-Nov-16,8111.6,8205.65,8210.05,8089.4,277.80M,0.04%
17-Nov-16,8079.95,8105.1,8151.25,8060.3,197.18M,-0.39%
18-Nov-16,8074.1,8097.55,8128.95,8048.3,166.20M,-0.07%
21-Nov-16,7929.1,8102.1,8102.45,7916.4,225.61M,-1.80%
22-Nov-16,8002.3,7989.15,8019.05,7938.15,216.68M,0.92%
23-Nov-16,8033.3,8051.2,8055.2,7973.1,186.60M,0.39%
24-Nov-16,7965.5,8011.8,8024.85,7952.55,268.62M,-0.84%
25-Nov-16,8114.3,8007.95,8122.25,7976.75,183.36M,1.87%
28-Nov-16,8126.9,8080.65,8146.5,8066.5,195.60M,0.16%
29-Nov-16,8142.15,8131.55,8197.35,8128.7,195.62M,0.19%
30-Nov-16,8224.5,8172.15,8234.25,8139.25,255.72M,1.01%
01-Dec-16,8192.9,8244,8250.8,8185.05,162.60M,-0.38%
02-Dec-16,8086.8,8153.55,8159.3,8070.05,176.77M,-1.30%
05-Dec-16,8128.75,8088.75,8141.9,8056.85,130.44M,0.52%
06-Dec-16,8143.15,8153.15,8178.7,8130.85,118.85M,0.18%
07-Dec-16,8102.05,8168.4,8190.45,8077.5,175.02M,-0.50%
08-Dec-16,8246.85,8152.1,8256.25,8151.75,146.86M,1.79%
09-Dec-16,8261.75,8271.7,8274.95,8241.95,154.34M,0.18%
12-Dec-16,8170.8,8230.65,8230.65,8154.45,111.43M,-1.10%
13-Dec-16,8221.8,8196.15,8228.85,8155.8,189.74M,0.62%
14-Dec-16,8182.45,8229.35,8229.4,8165.1,149.13M,-0.48%
15-Dec-16,8153.6,8128.4,8225.9,8121.95,187.43M,-0.35%
16-Dec-16,8139.45,8178.2,8178.7,8127.45,209.27M,-0.17%
19-Dec-16,8104.35,8126,8132.5,8094.85,110.67M,-0.43%
20-Dec-16,8082.4,8110.6,8124.1,8062.75,132.03M,-0.27%
